,GarageArea,AboveMedianPrice,LotArea,OverallQual,OverallCond,TotalBsmtSF,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces
0,548,1,8450,7,5,856,2,1,3,8,0
1,460,1,9600,6,8,1262,2,0,3,6,1
2,608,1,11250,7,5,920,2,1,3,6,1
3,642,0,9550,7,5,756,1,0,3,7,1
4,836,1,14260,8,5,1145,2,1,4,9,1
5,480,0,14115,5,5,796,1,1,1,5,0
6,636,1,10084,8,5,1686,2,0,3,7,1
7,484,1,10382,7,6,1107,2,1,3,7,2
8,468,0,6120,7,5,952,2,0,2,8,2
9,205,0,7420,5,6,991,1,0,2,5,2
10,384,0,11200,5,5,1040,1,0,3,5,0
11,736,1,11924,9,5,1175,3,0,4,11,2
12,352,0,12968,5,6,912,1,0,2,4,0
13,840,1,10652,7,5,1494,2,0,3,7,1
14,352,0,10920,6,5,1253,1,1,2,5,1
15,576,0,6120,7,8,832,1,0,2,5,0
16,480,0,11241,6,7,1004,1,0,2,5,1
17,516,0,10791,4,5,0,2,0,2,6,0
18,576,0,13695,5,5,1114,1,1,3,6,0
19,294,0,7560,5,6,1029,1,0,3,6,0
20,853,1,14215,8,5,1158,3,1,4,9,1
21,280,0,7449,7,7,637,1,0,3,6,1
22,534,1,9742,8,5,1777,2,0,3,7,1
23,572,0,4224,5,7,1040,1,0,3,6,1
24,270,0,8246,5,8,1060,1,0,3,6,1
25,890,1,14230,8,5,1566,2,0,3,7,1
26,576,0,7200,5,7,900,1,0,3,5,0
27,772,1,11478,8,5,1704,2,0,3,7,1
28,319,1,16321,5,6,1484,1,0,2,6,2
29,240,0,6324,4,6,520,1,0,1,4,0
30,250,0,8500,4,4,649,1,0,3,6,0
31,271,0,8544,5,6,1228,1,1,3,6,0
32,484,1,11049,8,5,1234,2,0,3,7,0
33,447,1,10552,5,5,1398,1,1,4,6,1
34,556,1,7313,9,5,1561,2,0,2,6,1
35,691,1,13418,8,5,1117,3,1,4,9,1
36,672,0,10859,5,5,1097,1,1,3,6,0
37,498,0,8532,5,6,1297,1,0,3,5,1
38,246,0,7922,5,7,1057,1,0,3,5,0
39,0,0,6040,4,5,0,2,0,2,6,0
40,440,0,8658,6,5,1088,2,0,3,6,1
41,308,1,16905,5,6,1350,1,1,2,5,2
42,504,0,9180,5,7,840,1,0,2,5,0
43,308,0,9200,5,6,938,1,0,3,5,0
44,300,0,7945,5,6,1150,1,0,3,6,0
45,576,1,7658,9,5,1752,2,0,2,6,1
46,670,1,12822,7,5,1434,1,1,1,6,1
47,826,1,11096,8,5,1656,2,0,3,7,0
48,0,0,4456,4,5,736,2,0,2,8,0
49,386,0,7742,5,7,955,1,0,3,6,0
50,388,1,13869,6,6,794,2,0,3,6,0
51,528,0,6240,6,6,816,1,0,3,6,1
52,516,0,8472,5,5,816,1,0,2,5,0
53,894,1,50271,9,5,1842,0,1,0,5,1
54,572,0,7134,5,5,384,1,0,3,6,1
55,576,1,10175,6,5,1425,2,0,3,7,1
56,480,1,2645,8,5,970,2,1,3,7,0
57,565,1,11645,7,5,860,2,1,3,7,0
58,641,1,13682,10,5,1410,3,1,3,10,1
59,352,0,7200,5,7,780,1,0,2,4,0
60,576,0,13072,6,5,1158,1,1,3,5,0
61,288,0,7200,5,7,530,1,0,3,6,0
62,484,1,6442,8,5,1370,2,0,2,6,1
63,480,0,10300,7,6,576,2,0,3,9,0
64,645,1,9375,7,5,1057,2,1,3,8,0
65,852,1,9591,8,5,1143,2,1,4,9,1
66,576,1,19900,7,5,1947,2,0,3,7,1
67,558,1,10665,7,5,1453,2,0,3,7,0
68,220,0,4608,4,6,747,1,0,2,4,0
69,667,1,15593,7,4,1304,2,0,3,7,1
70,516,1,13651,7,6,2223,2,0,3,8,2
71,360,0,7599,4,6,845,1,0,2,4,0
72,427,1,10141,7,5,832,2,1,3,7,1
73,490,0,10200,5,7,1086,1,0,3,6,0
74,379,0,5790,3,6,840,2,0,3,8,0
75,297,0,1596,4,5,462,1,0,2,5,0
76,283,0,8475,4,7,952,1,0,2,4,0
77,240,0,8635,5,5,672,1,0,2,6,0
78,0,0,10778,4,5,1768,2,0,4,8,0
79,440,0,10440,5,6,440,1,1,2,5,0
80,509,1,13000,6,6,896,2,1,4,8,1
81,405,0,4500,6,5,1237,2,0,2,5,0
82,758,1,10206,8,5,1563,2,0,3,6,1
83,461,0,8892,5,5,1065,1,1,3,6,0
84,400,1,8530,7,5,384,2,1,3,7,1
85,462,1,16059,8,5,1288,2,1,4,9,1
86,400,1,11911,6,5,684,2,1,3,6,1
87,528,1,3951,6,5,612,2,1,2,4,0
88,0,0,8470,3,2,1013,1,0,2,6,0
89,0,0,8070,4,5,990,1,0,3,5,0
90,420,0,7200,4,5,0,1,0,2,4,0
91,480,0,8500,5,3,1235,1,0,2,6,0
92,432,1,13360,5,7,876,1,0,2,5,0
93,506,0,7200,6,6,1214,2,0,4,9,1
94,684,1,9337,6,5,824,2,1,3,7,0
95,420,1,9765,6,8,680,2,1,3,6,1
96,472,1,10264,7,5,1588,2,0,3,6,0
97,432,0,10921,4,5,960,1,0,3,6,0
98,366,0,10625,5,5,458,1,0,2,5,0
99,0,0,9320,4,5,950,1,1,3,6,0
100,480,1,10603,6,7,1610,2,0,3,6,2
101,476,1,9206,6,5,741,2,1,3,7,1
102,410,0,7018,5,5,0,2,0,4,8,0
103,740,1,10402,7,5,1226,2,0,3,6,0
104,240,1,7758,7,4,1040,1,1,4,7,2
105,648,1,9375,8,5,1053,2,1,3,9,1
106,273,0,10800,4,7,641,1,0,2,6,0
107,250,0,6000,5,5,789,1,0,2,5,0
108,0,0,8500,5,7,793,2,0,3,7,0
109,546,1,11751,6,6,1844,2,0,3,7,1
110,325,0,9525,6,4,994,2,0,4,7,0
111,400,1,7750,7,5,384,2,1,3,7,1
112,792,1,9965,7,5,1264,2,1,4,10,1
113,450,1,21000,6,5,1809,2,0,3,7,2
114,180,1,7259,6,8,1028,2,1,3,9,1
115,440,1,3230,6,5,729,2,1,2,5,1
116,288,0,11616,5,5,1092,1,0,3,6,1
117,430,0,8536,5,5,1125,1,1,2,5,0
118,594,1,12376,7,5,1673,3,0,5,11,2
119,390,1,8461,6,5,728,2,1,3,8,1
120,540,1,21453,6,5,938,1,0,1,4,2
121,264,0,6060,4,5,732,1,0,3,4,0
122,288,0,9464,6,7,1080,1,0,3,5,0
123,530,0,7892,6,5,1199,2,0,2,5,0
124,435,1,17043,6,5,1362,2,0,3,7,1
125,0,0,6780,6,8,520,1,0,2,5,0
126,440,0,4928,6,5,1078,2,0,2,5,1
127,0,0,4388,5,7,672,1,0,3,5,1
128,453,0,7590,6,5,660,1,1,3,6,1
129,750,0,8973,5,7,1008,1,1,3,6,0
130,487,1,14200,7,6,924,2,1,4,8,2
131,390,1,12224,6,5,992,2,1,3,7,1
132,624,0,7388,5,6,1063,1,0,3,7,0
133,471,1,6853,8,5,1267,2,0,2,6,0
134,440,1,10335,5,6,1461,2,1,3,7,1
135,530,1,10400,7,6,1304,2,0,3,7,1
136,318,0,10355,5,5,1214,2,0,3,5,1
137,766,1,11070,7,5,1907,3,0,5,9,0
138,660,1,9066,8,5,1004,2,1,3,7,2
139,470,1,15426,6,5,928,2,1,3,7,0
140,0,0,10500,4,5,864,1,0,3,5,1
141,660,1,11645,7,5,1734,2,0,3,7,0
142,720,1,8520,5,4,910,2,0,4,6,0
143,577,1,10335,7,5,1490,2,0,3,6,0
144,504,0,9100,5,5,1728,2,0,6,10,0
145,380,0,2522,6,5,970,2,0,3,7,0
146,180,0,6120,5,7,715,1,0,2,5,0
147,434,1,9505,7,5,884,2,1,3,8,1
148,0,0,7500,7,5,1080,1,0,3,6,0
149,240,0,6240,5,4,896,1,0,3,7,0
150,440,0,10356,5,6,969,1,1,3,5,0
151,866,1,13891,8,5,1710,2,0,2,6,1
152,495,1,14803,6,5,825,2,1,4,8,1
153,564,1,13500,6,7,1602,1,0,1,4,1
154,312,0,11340,6,5,1200,1,0,4,7,0
155,0,0,9600,6,5,572,1,0,2,5,0
156,625,0,7200,5,7,0,1,0,2,5,0
157,680,1,12003,8,5,774,2,1,4,8,1
158,678,1,12552,7,5,991,2,1,3,8,1
159,576,1,19378,7,5,1392,2,1,4,9,1
160,516,0,11120,6,6,1232,2,0,3,6,0
161,726,1,13688,9,5,1572,2,1,3,10,2
162,532,1,12182,7,5,1541,2,0,3,7,1
163,0,0,5500,4,6,882,1,0,1,4,0
164,216,0,5400,6,7,1149,2,0,3,5,0
165,0,0,10106,5,7,644,2,0,4,6,0
166,303,1,10708,5,5,1617,1,0,2,7,3
167,789,1,10562,8,5,1582,1,1,3,8,1
168,440,1,8244,7,5,840,2,1,3,7,1
169,511,1,16669,8,6,1686,2,1,2,6,1
170,660,0,12358,5,6,720,1,1,2,7,0
171,528,1,31770,6,5,1080,1,0,3,7,2
172,504,1,5306,7,7,1064,2,0,2,5,1
173,504,0,10197,6,5,1362,1,1,3,6,1
174,616,1,12416,6,5,1606,2,0,3,7,1
175,576,1,12615,6,7,1202,2,0,4,7,1
176,521,1,10029,6,5,1151,2,1,4,8,1
177,451,1,13650,5,5,1052,2,0,4,8,1
178,1166,1,17423,9,5,2216,2,0,1,9,1
179,480,0,8520,5,6,968,1,0,2,5,0
180,440,1,2117,6,5,756,2,1,3,5,1
181,216,1,7588,7,6,793,1,1,4,9,1
182,252,0,9060,5,6,0,1,0,3,7,1
183,484,1,11426,7,5,1362,2,1,3,6,0
184,576,0,7438,5,8,504,1,0,3,5,0
185,840,1,22950,10,9,1107,2,1,4,12,2
186,497,1,9947,7,5,1188,2,0,3,6,0
187,180,0,10410,5,7,660,2,1,3,8,0
188,528,0,7018,5,5,1086,0,2,2,6,2
189,682,1,4923,8,5,1593,1,1,0,5,1
190,440,1,10570,8,8,853,2,1,3,10,2
191,484,1,7472,7,9,725,1,1,4,7,0
192,666,1,9017,7,5,1431,2,0,3,6,0
193,380,0,2522,7,5,970,2,0,3,7,0
194,352,0,7180,5,7,864,1,0,3,5,0
195,440,0,2280,6,6,855,2,1,3,7,1
196,786,1,9416,7,5,1726,2,0,3,8,1
197,795,1,25419,8,4,1360,2,0,4,8,1
198,0,0,5520,6,6,755,1,0,5,8,0
199,856,1,9591,8,5,1713,2,0,3,7,1
200,440,0,8546,4,5,1121,2,0,2,5,0
201,473,1,10125,6,6,1196,2,0,3,6,2
202,398,0,7000,6,6,617,2,0,2,6,0
203,420,0,4438,6,5,848,1,0,1,3,1
204,240,0,3500,5,7,720,1,1,2,5,0
205,500,1,11851,7,5,1424,2,0,3,5,0
206,349,0,13673,5,5,1140,1,1,3,8,1
207,312,0,12493,4,5,1100,1,0,3,6,1
208,454,1,14364,7,5,1157,2,1,3,7,1
209,504,0,8250,6,7,1092,1,0,3,6,0
210,0,0,5604,5,6,864,1,0,2,5,0
211,460,1,10420,6,5,1212,2,0,3,6,0
212,644,1,8640,7,5,900,2,1,3,7,1
213,576,0,13568,5,5,990,1,0,3,5,0
214,299,0,10900,6,7,689,1,1,3,6,0
215,447,0,10011,5,6,1070,1,0,2,6,1
216,484,1,8450,7,5,1436,2,0,3,8,0
217,210,0,9906,4,4,686,1,0,3,8,0
218,431,1,15660,7,9,798,1,1,3,8,2
219,438,1,3010,7,5,1248,2,0,2,5,0
220,675,1,8990,7,5,1498,2,0,2,5,0
221,390,1,8068,6,5,1010,2,1,4,8,1
222,434,1,11475,6,6,713,2,1,3,6,1
223,576,0,10500,4,6,864,1,0,2,4,0
224,968,1,13472,10,5,2392,2,0,3,8,1
225,280,0,1680,5,5,630,2,1,3,6,0
226,721,1,9950,7,5,1203,2,1,4,9,1
227,280,0,1869,6,6,483,1,1,2,5,0
228,336,0,8521,5,5,912,1,0,3,5,1
229,430,1,3182,7,5,1373,2,0,2,7,1
230,312,0,8760,6,6,1194,1,0,3,6,0
231,810,1,15138,8,5,1462,2,1,4,9,1
232,288,0,1680,6,5,483,1,1,2,5,1
233,308,0,10650,5,6,894,1,0,3,5,0
234,440,1,7851,6,5,860,2,1,4,8,2
235,264,0,1680,6,3,483,1,1,2,5,0
236,494,1,8773,7,5,1414,2,0,3,6,0
237,457,1,9453,7,7,996,2,1,3,7,0
238,818,1,12030,8,5,1694,2,0,3,7,0
239,220,0,8741,6,4,735,1,1,3,7,1
240,750,1,9000,8,5,1566,2,0,3,7,0
241,0,0,3880,5,9,686,1,0,2,4,0
242,352,0,5000,5,4,540,1,0,3,6,0
243,288,0,10762,6,6,626,1,1,3,6,1
244,463,1,8880,7,5,948,2,1,3,8,2
245,604,1,10400,7,5,1845,2,0,3,6,1
246,440,0,9142,6,8,1020,2,0,4,9,0
247,451,0,11310,6,5,1367,1,0,2,5,1
248,500,1,11317,7,5,840,2,1,3,8,0
249,389,1,159000,6,7,1444,2,0,4,7,2
250,0,0,5350,3,2,728,1,0,3,6,0
251,538,1,4750,8,5,1573,2,0,2,5,1
252,520,1,8366,6,5,798,2,1,3,6,0
253,309,0,9350,6,7,1302,2,0,3,7,0
254,294,0,8400,5,6,1314,1,0,3,5,0
255,429,1,8738,7,5,975,2,1,4,8,1
256,673,1,8791,6,5,864,2,1,3,7,0
257,660,1,8814,7,5,1604,2,1,3,8,1
258,564,1,12435,7,5,963,2,1,3,7,1
259,308,0,12702,5,5,0,1,0,2,4,0
260,884,1,19296,6,5,1362,1,0,3,6,1
261,868,1,9588,8,5,1482,2,1,3,10,1
262,492,0,8471,6,7,506,1,0,3,6,1
263,484,0,5500,5,7,926,1,0,3,6,0
264,504,0,5232,5,5,680,1,0,2,4,0
265,576,1,12090,6,6,1422,2,0,3,7,1
266,413,1,11207,6,5,802,2,1,3,8,1
267,240,1,8400,5,8,720,2,1,4,8,1
268,924,0,6900,5,6,740,1,0,2,4,1
269,504,0,7917,6,7,1143,1,1,3,6,1
270,1053,1,10728,8,5,1095,2,1,3,8,1
271,439,1,39104,7,7,1385,1,0,2,5,2
272,671,1,11764,8,7,1152,2,1,4,9,1
273,338,0,9600,6,6,1240,2,0,3,6,1
274,264,0,8314,5,7,816,1,0,2,5,0
275,672,1,7264,7,7,952,2,1,3,5,0
276,573,1,9196,7,5,1560,2,0,3,7,0
277,400,0,19138,4,5,864,1,0,2,4,0
278,732,1,14450,9,5,2121,2,1,3,8,1
279,505,1,10005,7,5,1160,2,1,4,8,1
280,575,1,11287,7,6,807,2,1,3,7,1
281,572,1,7200,6,5,1262,2,0,2,5,0
282,626,1,5063,7,5,1314,2,0,2,6,1
283,898,1,9612,8,5,1468,2,0,3,6,1
284,529,1,8012,6,5,1575,2,0,2,5,0
285,528,1,4251,7,5,625,2,1,2,5,0
286,440,0,9786,6,7,912,1,1,3,7,1
287,0,0,8125,4,4,858,1,0,3,5,0
288,280,0,9819,5,5,882,1,0,3,5,0
289,384,0,8730,6,7,698,1,0,3,7,0
290,685,1,15611,8,5,1079,2,1,3,8,1
291,0,0,5687,5,6,780,2,0,6,9,0
292,281,0,11409,5,4,768,1,1,3,8,1
293,539,1,16659,7,7,795,2,1,3,9,1
294,418,1,9600,6,5,1416,1,0,3,7,2
295,588,0,7937,6,6,1003,1,0,3,6,0
296,282,0,13710,5,5,910,1,1,4,6,0
297,576,1,7399,7,5,975,2,1,3,7,1
298,539,1,11700,6,6,702,1,2,3,7,1
299,300,0,14000,6,8,1092,1,0,3,6,1
300,375,0,15750,5,5,1165,1,0,2,5,2
301,683,1,16226,8,5,1028,2,1,4,9,1
302,843,1,13704,7,5,1541,2,0,3,6,1
303,552,0,9800,5,7,894,1,0,3,5,0
304,870,1,18386,7,9,1470,3,0,3,10,1
305,888,1,10386,8,5,2000,2,0,3,8,0
306,746,1,13474,7,5,700,2,1,4,8,1
307,0,0,7920,6,7,319,1,0,3,6,0
308,539,0,12342,4,5,861,1,0,1,4,0
309,708,1,12378,9,5,1896,2,0,3,8,3
310,420,1,7685,6,5,697,2,1,3,6,1
311,240,0,8000,6,6,972,1,0,2,5,1
312,410,0,7800,5,7,793,1,0,3,5,1
313,513,1,215245,7,5,2136,2,0,3,8,2
314,546,1,9600,7,7,728,1,1,3,6,1
315,432,1,7795,7,5,716,2,1,3,6,1
316,484,1,13005,7,7,845,2,1,4,10,1
317,1025,1,9000,8,5,1088,2,1,3,8,1
318,656,1,9900,7,5,1347,2,1,4,9,1
319,588,1,14115,7,5,1372,2,0,3,6,2
320,840,1,16259,9,5,1249,3,1,4,9,0
321,872,1,12099,8,5,1136,2,1,4,10,1
322,576,1,10380,7,5,1502,2,1,4,8,1
323,220,0,5820,3,8,1162,1,0,3,6,0
324,564,1,11275,7,7,710,2,1,5,11,1
325,360,0,5000,5,6,720,1,0,2,5,0
326,473,1,10846,8,5,1719,1,1,1,6,2
327,292,0,11600,6,5,1383,1,1,3,7,0
328,441,1,11888,6,6,844,2,0,5,10,0
329,189,0,6402,5,5,596,1,0,3,6,0
330,352,0,10624,5,4,1728,2,0,6,10,0
331,308,0,8176,5,6,1056,1,0,3,6,0
332,880,1,10655,8,5,3206,2,0,3,7,1
333,484,1,8198,7,5,1358,2,0,2,6,1
334,472,1,9042,6,5,943,2,1,3,7,2
335,529,1,164660,5,6,1499,2,0,3,7,2
336,676,1,14157,9,5,1922,2,0,3,8,1
337,532,1,9135,7,5,1536,2,0,3,7,0
338,440,1,14145,7,7,1208,2,0,3,8,0
339,297,0,12400,6,7,1215,1,0,3,6,0
340,431,1,14191,8,5,967,2,1,4,9,0
341,294,0,8400,4,4,721,1,0,2,4,0
342,400,0,8544,3,4,0,2,0,2,6,0
343,564,1,8849,9,5,1684,2,0,2,6,1
344,336,0,2592,5,3,536,1,1,3,4,0
345,312,0,6435,6,5,972,1,0,3,6,1
346,301,0,12772,6,8,958,1,0,2,5,0
347,498,0,17600,6,5,1478,2,0,3,6,2
348,474,0,2448,7,5,764,2,1,2,6,0
349,706,1,20431,9,5,1848,2,1,4,10,2
350,617,1,7820,9,5,1869,2,0,2,6,1
351,445,1,5271,7,5,1453,1,1,2,6,1
352,200,0,9084,5,6,616,1,0,3,5,0
353,484,0,8520,6,8,624,1,0,2,5,0
354,240,0,8400,6,5,940,1,0,2,6,2
355,521,1,11249,6,5,1200,2,0,3,6,0
356,400,1,9248,6,6,1158,2,0,3,6,0
357,528,0,4224,5,5,1142,1,1,3,6,1
358,288,0,6930,5,4,1062,1,0,3,6,0
359,592,1,12011,8,5,1086,2,1,3,7,1
360,470,0,7540,6,6,888,1,0,2,5,1
361,240,0,9144,5,5,883,1,0,3,8,0
362,672,1,7301,7,5,0,3,0,4,7,1
363,264,0,1680,6,8,483,1,1,2,5,0
364,566,1,18800,6,5,796,2,1,3,6,1
365,468,0,10690,5,7,672,1,0,3,6,0
366,514,0,9500,6,5,1394,1,1,3,6,2
367,296,1,9150,6,5,1099,1,0,3,6,1
368,244,0,7800,5,6,1268,1,0,2,7,1
369,576,0,9830,5,7,1063,1,0,3,7,1
370,460,1,8121,6,5,953,2,1,3,7,1
371,680,0,17120,4,4,0,2,0,4,7,1
372,264,0,7175,6,5,744,1,0,2,4,0
373,270,0,10634,5,6,608,1,0,3,5,0
374,434,1,8200,7,5,847,2,1,4,8,1
375,0,0,10020,1,1,683,0,1,1,4,0
376,576,0,8846,5,5,870,1,0,2,5,0
377,610,1,11143,8,5,1580,3,0,4,8,1
378,834,1,11394,9,2,1856,1,1,1,8,1
379,463,1,8123,6,5,982,2,1,3,7,1
380,308,0,5000,5,6,1026,2,0,3,6,1
381,572,1,7200,7,5,1293,2,0,2,5,1
382,639,1,9245,7,5,939,2,1,3,8,0
383,360,0,9000,6,3,784,1,0,2,5,0
384,501,1,53107,6,5,1580,2,1,3,9,2
385,430,1,3182,8,5,1256,2,0,2,6,1
386,0,0,8410,5,3,658,1,0,5,8,0
387,352,0,7200,6,6,1041,1,0,3,6,1
388,577,1,9382,7,5,1468,2,0,3,6,0
389,846,1,12474,10,5,1682,2,1,3,9,1
390,384,0,8405,5,8,861,1,0,4,7,0
391,560,1,12209,6,5,804,2,1,3,7,1
392,294,0,8339,5,7,0,1,0,3,5,0
393,0,0,7446,4,5,788,1,0,2,4,2
394,240,0,10134,5,6,735,1,0,2,5,0
395,596,0,9571,5,6,1144,1,0,3,6,0
396,600,0,7200,5,5,894,1,0,2,6,0
397,264,1,7590,5,5,864,2,0,4,8,1
398,338,0,8967,5,2,961,1,0,2,6,0
399,438,1,8125,7,5,1092,2,0,2,7,0
400,500,1,14963,8,5,1260,1,1,1,4,2
401,400,1,8767,7,5,1310,2,0,3,6,1
402,240,0,10200,5,8,672,1,0,2,4,0
403,420,1,12090,8,5,1141,2,1,4,10,1
404,373,1,10364,6,5,806,2,1,3,7,1
405,490,0,9991,4,4,1281,2,0,3,8,1
406,240,0,10480,6,5,1064,1,0,3,6,0
407,308,1,15576,6,7,840,2,0,4,8,0
408,947,1,14154,7,5,1063,2,1,3,9,1
409,836,1,10800,8,5,1034,2,1,3,8,1
410,350,0,9571,5,3,1276,1,0,3,5,0
411,572,0,34650,5,5,1056,1,0,3,5,0
412,484,1,4403,7,5,1470,2,1,2,7,1
413,360,0,8960,5,6,1008,1,0,2,5,1
414,678,1,11228,7,5,1080,2,1,3,9,1
415,396,1,8899,7,5,1340,2,0,3,6,0
416,440,0,7844,6,7,672,1,1,3,6,1
417,864,1,22420,6,6,1370,2,1,4,10,1
418,240,0,8160,5,6,756,1,1,3,7,0
419,304,0,8450,5,6,1056,1,0,3,6,1
420,784,1,7060,7,5,1344,2,0,2,8,0
421,529,1,16635,6,7,1602,2,0,3,8,1
422,520,0,21750,5,5,988,1,0,2,4,0
423,696,1,9200,8,5,1470,2,1,4,8,1
424,297,0,9000,6,5,1196,1,0,2,6,1
425,240,0,3378,7,8,651,1,1,3,6,2
426,569,1,12800,7,5,1518,2,0,2,5,1
427,352,0,8593,4,6,907,1,0,3,5,0
428,628,1,6762,7,5,1208,2,0,2,6,0
429,576,1,11457,6,5,1392,2,0,3,6,1
430,264,0,1680,6,5,483,1,1,2,4,0
431,0,0,5586,6,7,901,1,0,4,7,0
432,440,0,1920,5,5,765,1,1,2,6,0
433,470,1,10839,6,5,926,2,1,3,7,1
434,0,0,1890,4,7,630,1,0,1,3,0
435,550,1,10667,7,6,799,2,1,3,6,1
436,440,0,4400,6,8,648,1,0,2,6,0
437,180,0,6000,6,7,884,1,0,2,4,0
438,352,0,4280,5,6,440,1,0,2,4,1
439,528,0,12354,6,8,684,1,0,3,7,0
440,672,1,15431,10,5,3094,2,0,2,10,2
441,0,0,12108,4,4,1440,2,0,4,8,0
442,360,0,6240,5,7,1078,2,0,3,8,1
443,648,1,3922,7,5,1258,2,0,2,6,1
444,493,1,8750,7,5,915,2,1,4,8,1
445,480,0,9855,6,5,1436,1,0,3,7,1
446,578,1,16492,6,6,1517,2,1,2,6,1
447,431,1,11214,7,5,930,2,1,4,10,1
448,198,0,8600,6,6,780,2,0,3,7,1
449,308,0,6000,3,7,649,1,1,2,6,0
450,270,0,5684,6,8,813,1,0,2,5,0
451,576,1,70761,7,5,1533,2,0,2,5,2
452,422,1,9303,6,5,872,2,1,3,7,0
453,676,1,9000,8,5,768,2,1,3,6,0
454,560,1,9297,5,5,1728,2,0,4,8,0
455,528,1,9600,7,6,1242,1,1,3,6,1
456,513,0,4571,5,5,624,1,0,4,7,0
457,529,1,53227,4,6,1364,1,0,2,6,2
458,228,0,5100,8,7,588,1,0,3,7,1
459,352,0,7015,5,4,709,1,0,3,5,1
460,552,1,8004,8,5,832,2,1,3,8,0
461,576,0,7200,7,9,560,1,0,3,6,0
462,360,0,8281,5,5,864,1,0,3,5,1
463,240,1,11988,6,7,715,1,1,3,6,1
464,0,0,8430,5,5,1040,2,0,3,5,0
465,398,1,3072,7,5,1375,2,0,2,6,1
466,526,1,10628,7,5,1277,1,0,2,5,1
467,312,0,9480,5,7,728,1,1,3,7,2
468,866,1,11428,8,5,1626,2,0,3,7,1
469,506,1,9291,6,5,832,2,1,3,7,0
470,528,1,6820,8,5,1488,1,1,1,4,0
471,534,1,11952,7,6,808,2,1,3,8,1
472,525,0,3675,6,5,547,1,0,2,5,0
473,908,1,14977,8,5,1976,2,0,2,7,1
474,499,1,5330,8,5,1494,2,0,2,6,0
475,624,0,8480,5,6,970,1,0,2,5,0
476,508,1,13125,6,5,1478,2,0,3,7,1
477,694,1,13693,9,5,2153,2,1,3,9,1
478,826,1,10637,8,5,1705,2,0,3,7,1
479,672,0,5925,4,7,907,1,0,2,7,0
480,772,1,16033,9,5,1833,2,0,3,8,1
481,874,1,11846,9,5,1792,2,0,2,6,1
482,164,0,2500,7,8,910,1,1,4,7,1
483,402,1,4500,6,5,1216,2,0,2,5,0
484,264,0,7758,5,7,999,1,0,3,6,0
485,264,0,9600,5,7,1113,1,0,3,5,1
486,515,0,10289,5,7,1073,1,1,3,6,0
487,487,1,12243,5,6,1484,2,0,3,7,1
488,520,0,10800,5,4,954,2,0,3,10,1
489,286,0,1526,4,8,630,1,0,1,3,0
