,AboveMedianPrice,LotArea,OverallQual,OverallCond,TotalBsmtSF,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageArea
0,1,8450,7,5,856,2,1,3,8,0,548
1,1,9600,6,8,1262,2,0,3,6,1,460
2,1,11250,7,5,920,2,1,3,6,1,608
3,0,9550,7,5,756,1,0,3,7,1,642
4,1,14260,8,5,1145,2,1,4,9,1,836
5,0,14115,5,5,796,1,1,1,5,0,480
6,1,10084,8,5,1686,2,0,3,7,1,636
7,1,10382,7,6,1107,2,1,3,7,2,484
8,0,6120,7,5,952,2,0,2,8,2,468
9,0,7420,5,6,991,1,0,2,5,2,205
10,0,11200,5,5,1040,1,0,3,5,0,384
11,1,11924,9,5,1175,3,0,4,11,2,736
12,0,12968,5,6,912,1,0,2,4,0,352
13,1,10652,7,5,1494,2,0,3,7,1,840
14,0,10920,6,5,1253,1,1,2,5,1,352
15,0,6120,7,8,832,1,0,2,5,0,576
16,0,11241,6,7,1004,1,0,2,5,1,480
17,0,10791,4,5,0,2,0,2,6,0,516
18,0,13695,5,5,1114,1,1,3,6,0,576
19,0,7560,5,6,1029,1,0,3,6,0,294
20,1,14215,8,5,1158,3,1,4,9,1,853
21,0,7449,7,7,637,1,0,3,6,1,280
22,1,9742,8,5,1777,2,0,3,7,1,534
23,0,4224,5,7,1040,1,0,3,6,1,572
24,0,8246,5,8,1060,1,0,3,6,1,270
25,1,14230,8,5,1566,2,0,3,7,1,890
26,0,7200,5,7,900,1,0,3,5,0,576
27,1,11478,8,5,1704,2,0,3,7,1,772
28,1,16321,5,6,1484,1,0,2,6,2,319
29,0,6324,4,6,520,1,0,1,4,0,240
30,0,8500,4,4,649,1,0,3,6,0,250
31,0,8544,5,6,1228,1,1,3,6,0,271
32,1,11049,8,5,1234,2,0,3,7,0,484
33,1,10552,5,5,1398,1,1,4,6,1,447
34,1,7313,9,5,1561,2,0,2,6,1,556
35,1,13418,8,5,1117,3,1,4,9,1,691
36,0,10859,5,5,1097,1,1,3,6,0,672
37,0,8532,5,6,1297,1,0,3,5,1,498
38,0,7922,5,7,1057,1,0,3,5,0,246
39,0,6040,4,5,0,2,0,2,6,0,0
40,0,8658,6,5,1088,2,0,3,6,1,440
41,1,16905,5,6,1350,1,1,2,5,2,308
42,0,9180,5,7,840,1,0,2,5,0,504
43,0,9200,5,6,938,1,0,3,5,0,308
44,0,7945,5,6,1150,1,0,3,6,0,300
45,1,7658,9,5,1752,2,0,2,6,1,576
46,1,12822,7,5,1434,1,1,1,6,1,670
47,1,11096,8,5,1656,2,0,3,7,0,826
48,0,4456,4,5,736,2,0,2,8,0,0
49,0,7742,5,7,955,1,0,3,6,0,386
50,1,13869,6,6,794,2,0,3,6,0,388
51,0,6240,6,6,816,1,0,3,6,1,528
52,0,8472,5,5,816,1,0,2,5,0,516
53,1,50271,9,5,1842,0,1,0,5,1,894
54,0,7134,5,5,384,1,0,3,6,1,572
55,1,10175,6,5,1425,2,0,3,7,1,576
56,1,2645,8,5,970,2,1,3,7,0,480
57,1,11645,7,5,860,2,1,3,7,0,565
58,1,13682,10,5,1410,3,1,3,10,1,641
59,0,7200,5,7,780,1,0,2,4,0,352
60,0,13072,6,5,1158,1,1,3,5,0,576
61,0,7200,5,7,530,1,0,3,6,0,288
62,1,6442,8,5,1370,2,0,2,6,1,484
63,0,10300,7,6,576,2,0,3,9,0,480
64,1,9375,7,5,1057,2,1,3,8,0,645
65,1,9591,8,5,1143,2,1,4,9,1,852
66,1,19900,7,5,1947,2,0,3,7,1,576
67,1,10665,7,5,1453,2,0,3,7,0,558
68,0,4608,4,6,747,1,0,2,4,0,220
69,1,15593,7,4,1304,2,0,3,7,1,667
70,1,13651,7,6,2223,2,0,3,8,2,516
71,0,7599,4,6,845,1,0,2,4,0,360
72,1,10141,7,5,832,2,1,3,7,1,427
73,0,10200,5,7,1086,1,0,3,6,0,490
74,0,5790,3,6,840,2,0,3,8,0,379
75,0,1596,4,5,462,1,0,2,5,0,297
76,0,8475,4,7,952,1,0,2,4,0,283
77,0,8635,5,5,672,1,0,2,6,0,240
78,0,10778,4,5,1768,2,0,4,8,0,0
79,0,10440,5,6,440,1,1,2,5,0,440
80,1,13000,6,6,896,2,1,4,8,1,509
81,0,4500,6,5,1237,2,0,2,5,0,405
82,1,10206,8,5,1563,2,0,3,6,1,758
83,0,8892,5,5,1065,1,1,3,6,0,461
84,1,8530,7,5,384,2,1,3,7,1,400
85,1,16059,8,5,1288,2,1,4,9,1,462
86,1,11911,6,5,684,2,1,3,6,1,400
87,1,3951,6,5,612,2,1,2,4,0,528
88,0,8470,3,2,1013,1,0,2,6,0,0
89,0,8070,4,5,990,1,0,3,5,0,0
90,0,7200,4,5,0,1,0,2,4,0,420
91,0,8500,5,3,1235,1,0,2,6,0,480
92,1,13360,5,7,876,1,0,2,5,0,432
93,0,7200,6,6,1214,2,0,4,9,1,506
94,1,9337,6,5,824,2,1,3,7,0,684
95,1,9765,6,8,680,2,1,3,6,1,420
96,1,10264,7,5,1588,2,0,3,6,0,472
97,0,10921,4,5,960,1,0,3,6,0,432
98,0,10625,5,5,458,1,0,2,5,0,366
99,0,9320,4,5,950,1,1,3,6,0,0
100,1,10603,6,7,1610,2,0,3,6,2,480
101,1,9206,6,5,741,2,1,3,7,1,476
102,0,7018,5,5,0,2,0,4,8,0,410
103,1,10402,7,5,1226,2,0,3,6,0,740
104,1,7758,7,4,1040,1,1,4,7,2,240
105,1,9375,8,5,1053,2,1,3,9,1,648
106,0,10800,4,7,641,1,0,2,6,0,273
107,0,6000,5,5,789,1,0,2,5,0,250
108,0,8500,5,7,793,2,0,3,7,0,0
109,1,11751,6,6,1844,2,0,3,7,1,546
110,0,9525,6,4,994,2,0,4,7,0,325
111,1,7750,7,5,384,2,1,3,7,1,400
112,1,9965,7,5,1264,2,1,4,10,1,792
113,1,21000,6,5,1809,2,0,3,7,2,450
114,1,7259,6,8,1028,2,1,3,9,1,180
115,1,3230,6,5,729,2,1,2,5,1,440
116,0,11616,5,5,1092,1,0,3,6,1,288
117,0,8536,5,5,1125,1,1,2,5,0,430
118,1,12376,7,5,1673,3,0,5,11,2,594
119,1,8461,6,5,728,2,1,3,8,1,390
120,1,21453,6,5,938,1,0,1,4,2,540
121,0,6060,4,5,732,1,0,3,4,0,264
122,0,9464,6,7,1080,1,0,3,5,0,288
123,0,7892,6,5,1199,2,0,2,5,0,530
124,1,17043,6,5,1362,2,0,3,7,1,435
125,0,6780,6,8,520,1,0,2,5,0,0
126,0,4928,6,5,1078,2,0,2,5,1,440
127,0,4388,5,7,672,1,0,3,5,1,0
128,0,7590,6,5,660,1,1,3,6,1,453
129,0,8973,5,7,1008,1,1,3,6,0,750
130,1,14200,7,6,924,2,1,4,8,2,487
131,1,12224,6,5,992,2,1,3,7,1,390
132,0,7388,5,6,1063,1,0,3,7,0,624
133,1,6853,8,5,1267,2,0,2,6,0,471
134,1,10335,5,6,1461,2,1,3,7,1,440
135,1,10400,7,6,1304,2,0,3,7,1,530
136,0,10355,5,5,1214,2,0,3,5,1,318
137,1,11070,7,5,1907,3,0,5,9,0,766
138,1,9066,8,5,1004,2,1,3,7,2,660
139,1,15426,6,5,928,2,1,3,7,0,470
140,0,10500,4,5,864,1,0,3,5,1,0
141,1,11645,7,5,1734,2,0,3,7,0,660
142,1,8520,5,4,910,2,0,4,6,0,720
143,1,10335,7,5,1490,2,0,3,6,0,577
144,0,9100,5,5,1728,2,0,6,10,0,504
145,0,2522,6,5,970,2,0,3,7,0,380
146,0,6120,5,7,715,1,0,2,5,0,180
147,1,9505,7,5,884,2,1,3,8,1,434
148,0,7500,7,5,1080,1,0,3,6,0,0
149,0,6240,5,4,896,1,0,3,7,0,240
150,0,10356,5,6,969,1,1,3,5,0,440
151,1,13891,8,5,1710,2,0,2,6,1,866
152,1,14803,6,5,825,2,1,4,8,1,495
153,1,13500,6,7,1602,1,0,1,4,1,564
154,0,11340,6,5,1200,1,0,4,7,0,312
155,0,9600,6,5,572,1,0,2,5,0,0
156,0,7200,5,7,0,1,0,2,5,0,625
157,1,12003,8,5,774,2,1,4,8,1,680
158,1,12552,7,5,991,2,1,3,8,1,678
159,1,19378,7,5,1392,2,1,4,9,1,576
160,0,11120,6,6,1232,2,0,3,6,0,516
161,1,13688,9,5,1572,2,1,3,10,2,726
162,1,12182,7,5,1541,2,0,3,7,1,532
163,0,5500,4,6,882,1,0,1,4,0,0
164,0,5400,6,7,1149,2,0,3,5,0,216
165,0,10106,5,7,644,2,0,4,6,0,0
166,1,10708,5,5,1617,1,0,2,7,3,303
167,1,10562,8,5,1582,1,1,3,8,1,789
168,1,8244,7,5,840,2,1,3,7,1,440
169,1,16669,8,6,1686,2,1,2,6,1,511
170,0,12358,5,6,720,1,1,2,7,0,660
171,1,31770,6,5,1080,1,0,3,7,2,528
172,1,5306,7,7,1064,2,0,2,5,1,504
173,0,10197,6,5,1362,1,1,3,6,1,504
174,1,12416,6,5,1606,2,0,3,7,1,616
175,1,12615,6,7,1202,2,0,4,7,1,576
176,1,10029,6,5,1151,2,1,4,8,1,521
177,1,13650,5,5,1052,2,0,4,8,1,451
178,1,17423,9,5,2216,2,0,1,9,1,1166
179,0,8520,5,6,968,1,0,2,5,0,480
180,1,2117,6,5,756,2,1,3,5,1,440
181,1,7588,7,6,793,1,1,4,9,1,216
182,0,9060,5,6,0,1,0,3,7,1,252
183,1,11426,7,5,1362,2,1,3,6,0,484
184,0,7438,5,8,504,1,0,3,5,0,576
185,1,22950,10,9,1107,2,1,4,12,2,840
186,1,9947,7,5,1188,2,0,3,6,0,497
187,0,10410,5,7,660,2,1,3,8,0,180
188,0,7018,5,5,1086,0,2,2,6,2,528
189,1,4923,8,5,1593,1,1,0,5,1,682
190,1,10570,8,8,853,2,1,3,10,2,440
191,1,7472,7,9,725,1,1,4,7,0,484
192,1,9017,7,5,1431,2,0,3,6,0,666
193,0,2522,7,5,970,2,0,3,7,0,380
194,0,7180,5,7,864,1,0,3,5,0,352
195,0,2280,6,6,855,2,1,3,7,1,440
196,1,9416,7,5,1726,2,0,3,8,1,786
197,1,25419,8,4,1360,2,0,4,8,1,795
198,0,5520,6,6,755,1,0,5,8,0,0
199,1,9591,8,5,1713,2,0,3,7,1,856
200,0,8546,4,5,1121,2,0,2,5,0,440
201,1,10125,6,6,1196,2,0,3,6,2,473
202,0,7000,6,6,617,2,0,2,6,0,398
203,0,4438,6,5,848,1,0,1,3,1,420
204,0,3500,5,7,720,1,1,2,5,0,240
205,1,11851,7,5,1424,2,0,3,5,0,500
206,0,13673,5,5,1140,1,1,3,8,1,349
207,0,12493,4,5,1100,1,0,3,6,1,312
208,1,14364,7,5,1157,2,1,3,7,1,454
209,0,8250,6,7,1092,1,0,3,6,0,504
210,0,5604,5,6,864,1,0,2,5,0,0
211,1,10420,6,5,1212,2,0,3,6,0,460
212,1,8640,7,5,900,2,1,3,7,1,644
213,0,13568,5,5,990,1,0,3,5,0,576
214,0,10900,6,7,689,1,1,3,6,0,299
215,0,10011,5,6,1070,1,0,2,6,1,447
216,1,8450,7,5,1436,2,0,3,8,0,484
217,0,9906,4,4,686,1,0,3,8,0,210
218,1,15660,7,9,798,1,1,3,8,2,431
219,1,3010,7,5,1248,2,0,2,5,0,438
220,1,8990,7,5,1498,2,0,2,5,0,675
221,1,8068,6,5,1010,2,1,4,8,1,390
222,1,11475,6,6,713,2,1,3,6,1,434
223,0,10500,4,6,864,1,0,2,4,0,576
224,1,13472,10,5,2392,2,0,3,8,1,968
225,0,1680,5,5,630,2,1,3,6,0,280
226,1,9950,7,5,1203,2,1,4,9,1,721
227,0,1869,6,6,483,1,1,2,5,0,280
228,0,8521,5,5,912,1,0,3,5,1,336
229,1,3182,7,5,1373,2,0,2,7,1,430
230,0,8760,6,6,1194,1,0,3,6,0,312
231,1,15138,8,5,1462,2,1,4,9,1,810
232,0,1680,6,5,483,1,1,2,5,1,288
233,0,10650,5,6,894,1,0,3,5,0,308
234,1,7851,6,5,860,2,1,4,8,2,440
235,0,1680,6,3,483,1,1,2,5,0,264
236,1,8773,7,5,1414,2,0,3,6,0,494
237,1,9453,7,7,996,2,1,3,7,0,457
238,1,12030,8,5,1694,2,0,3,7,0,818
239,0,8741,6,4,735,1,1,3,7,1,220
240,1,9000,8,5,1566,2,0,3,7,0,750
241,0,3880,5,9,686,1,0,2,4,0,0
242,0,5000,5,4,540,1,0,3,6,0,352
243,0,10762,6,6,626,1,1,3,6,1,288
244,1,8880,7,5,948,2,1,3,8,2,463
245,1,10400,7,5,1845,2,0,3,6,1,604
246,0,9142,6,8,1020,2,0,4,9,0,440
247,0,11310,6,5,1367,1,0,2,5,1,451
248,1,11317,7,5,840,2,1,3,8,0,500
249,1,159000,6,7,1444,2,0,4,7,2,389
250,0,5350,3,2,728,1,0,3,6,0,0
251,1,4750,8,5,1573,2,0,2,5,1,538
252,1,8366,6,5,798,2,1,3,6,0,520
253,0,9350,6,7,1302,2,0,3,7,0,309
254,0,8400,5,6,1314,1,0,3,5,0,294
255,1,8738,7,5,975,2,1,4,8,1,429
256,1,8791,6,5,864,2,1,3,7,0,673
257,1,8814,7,5,1604,2,1,3,8,1,660
258,1,12435,7,5,963,2,1,3,7,1,564
259,0,12702,5,5,0,1,0,2,4,0,308
260,1,19296,6,5,1362,1,0,3,6,1,884
261,1,9588,8,5,1482,2,1,3,10,1,868
262,0,8471,6,7,506,1,0,3,6,1,492
263,0,5500,5,7,926,1,0,3,6,0,484
264,0,5232,5,5,680,1,0,2,4,0,504
265,1,12090,6,6,1422,2,0,3,7,1,576
266,1,11207,6,5,802,2,1,3,8,1,413
267,1,8400,5,8,720,2,1,4,8,1,240
268,0,6900,5,6,740,1,0,2,4,1,924
269,0,7917,6,7,1143,1,1,3,6,1,504
270,1,10728,8,5,1095,2,1,3,8,1,1053
271,1,39104,7,7,1385,1,0,2,5,2,439
272,1,11764,8,7,1152,2,1,4,9,1,671
273,0,9600,6,6,1240,2,0,3,6,1,338
274,0,8314,5,7,816,1,0,2,5,0,264
275,1,7264,7,7,952,2,1,3,5,0,672
276,1,9196,7,5,1560,2,0,3,7,0,573
277,0,19138,4,5,864,1,0,2,4,0,400
278,1,14450,9,5,2121,2,1,3,8,1,732
279,1,10005,7,5,1160,2,1,4,8,1,505
280,1,11287,7,6,807,2,1,3,7,1,575
281,1,7200,6,5,1262,2,0,2,5,0,572
282,1,5063,7,5,1314,2,0,2,6,1,626
283,1,9612,8,5,1468,2,0,3,6,1,898
284,1,8012,6,5,1575,2,0,2,5,0,529
285,1,4251,7,5,625,2,1,2,5,0,528
286,0,9786,6,7,912,1,1,3,7,1,440
287,0,8125,4,4,858,1,0,3,5,0,0
288,0,9819,5,5,882,1,0,3,5,0,280
289,0,8730,6,7,698,1,0,3,7,0,384
290,1,15611,8,5,1079,2,1,3,8,1,685
291,0,5687,5,6,780,2,0,6,9,0,0
292,0,11409,5,4,768,1,1,3,8,1,281
293,1,16659,7,7,795,2,1,3,9,1,539
294,1,9600,6,5,1416,1,0,3,7,2,418
295,0,7937,6,6,1003,1,0,3,6,0,588
296,0,13710,5,5,910,1,1,4,6,0,282
297,1,7399,7,5,975,2,1,3,7,1,576
298,1,11700,6,6,702,1,2,3,7,1,539
299,0,14000,6,8,1092,1,0,3,6,1,300
300,0,15750,5,5,1165,1,0,2,5,2,375
301,1,16226,8,5,1028,2,1,4,9,1,683
302,1,13704,7,5,1541,2,0,3,6,1,843
303,0,9800,5,7,894,1,0,3,5,0,552
304,1,18386,7,9,1470,3,0,3,10,1,870
305,1,10386,8,5,2000,2,0,3,8,0,888
306,1,13474,7,5,700,2,1,4,8,1,746
307,0,7920,6,7,319,1,0,3,6,0,0
308,0,12342,4,5,861,1,0,1,4,0,539
309,1,12378,9,5,1896,2,0,3,8,3,708
310,1,7685,6,5,697,2,1,3,6,1,420
311,0,8000,6,6,972,1,0,2,5,1,240
312,0,7800,5,7,793,1,0,3,5,1,410
313,1,215245,7,5,2136,2,0,3,8,2,513
314,1,9600,7,7,728,1,1,3,6,1,546
315,1,7795,7,5,716,2,1,3,6,1,432
316,1,13005,7,7,845,2,1,4,10,1,484
317,1,9000,8,5,1088,2,1,3,8,1,1025
318,1,9900,7,5,1347,2,1,4,9,1,656
319,1,14115,7,5,1372,2,0,3,6,2,588
320,1,16259,9,5,1249,3,1,4,9,0,840
321,1,12099,8,5,1136,2,1,4,10,1,872
322,1,10380,7,5,1502,2,1,4,8,1,576
323,0,5820,3,8,1162,1,0,3,6,0,220
324,1,11275,7,7,710,2,1,5,11,1,564
325,0,5000,5,6,720,1,0,2,5,0,360
326,1,10846,8,5,1719,1,1,1,6,2,473
327,0,11600,6,5,1383,1,1,3,7,0,292
328,1,11888,6,6,844,2,0,5,10,0,441
329,0,6402,5,5,596,1,0,3,6,0,189
330,0,10624,5,4,1728,2,0,6,10,0,352
331,0,8176,5,6,1056,1,0,3,6,0,308
332,1,10655,8,5,3206,2,0,3,7,1,880
333,1,8198,7,5,1358,2,0,2,6,1,484
334,1,9042,6,5,943,2,1,3,7,2,472
335,1,164660,5,6,1499,2,0,3,7,2,529
336,1,14157,9,5,1922,2,0,3,8,1,676
337,1,9135,7,5,1536,2,0,3,7,0,532
338,1,14145,7,7,1208,2,0,3,8,0,440
339,0,12400,6,7,1215,1,0,3,6,0,297
340,1,14191,8,5,967,2,1,4,9,0,431
341,0,8400,4,4,721,1,0,2,4,0,294
342,0,8544,3,4,0,2,0,2,6,0,400
343,1,8849,9,5,1684,2,0,2,6,1,564
344,0,2592,5,3,536,1,1,3,4,0,336
345,0,6435,6,5,972,1,0,3,6,1,312
346,0,12772,6,8,958,1,0,2,5,0,301
347,0,17600,6,5,1478,2,0,3,6,2,498
348,0,2448,7,5,764,2,1,2,6,0,474
349,1,20431,9,5,1848,2,1,4,10,2,706
350,1,7820,9,5,1869,2,0,2,6,1,617
351,1,5271,7,5,1453,1,1,2,6,1,445
352,0,9084,5,6,616,1,0,3,5,0,200
353,0,8520,6,8,624,1,0,2,5,0,484
354,0,8400,6,5,940,1,0,2,6,2,240
355,1,11249,6,5,1200,2,0,3,6,0,521
356,1,9248,6,6,1158,2,0,3,6,0,400
357,0,4224,5,5,1142,1,1,3,6,1,528
358,0,6930,5,4,1062,1,0,3,6,0,288
359,1,12011,8,5,1086,2,1,3,7,1,592
360,0,7540,6,6,888,1,0,2,5,1,470
361,0,9144,5,5,883,1,0,3,8,0,240
362,1,7301,7,5,0,3,0,4,7,1,672
363,0,1680,6,8,483,1,1,2,5,0,264
364,1,18800,6,5,796,2,1,3,6,1,566
365,0,10690,5,7,672,1,0,3,6,0,468
366,0,9500,6,5,1394,1,1,3,6,2,514
367,1,9150,6,5,1099,1,0,3,6,1,296
368,0,7800,5,6,1268,1,0,2,7,1,244
369,0,9830,5,7,1063,1,0,3,7,1,576
370,1,8121,6,5,953,2,1,3,7,1,460
371,0,17120,4,4,0,2,0,4,7,1,680
372,0,7175,6,5,744,1,0,2,4,0,264
373,0,10634,5,6,608,1,0,3,5,0,270
374,1,8200,7,5,847,2,1,4,8,1,434
375,0,10020,1,1,683,0,1,1,4,0,0
376,0,8846,5,5,870,1,0,2,5,0,576
377,1,11143,8,5,1580,3,0,4,8,1,610
378,1,11394,9,2,1856,1,1,1,8,1,834
379,1,8123,6,5,982,2,1,3,7,1,463
380,0,5000,5,6,1026,2,0,3,6,1,308
381,1,7200,7,5,1293,2,0,2,5,1,572
382,1,9245,7,5,939,2,1,3,8,0,639
383,0,9000,6,3,784,1,0,2,5,0,360
384,1,53107,6,5,1580,2,1,3,9,2,501
385,1,3182,8,5,1256,2,0,2,6,1,430
386,0,8410,5,3,658,1,0,5,8,0,0
387,0,7200,6,6,1041,1,0,3,6,1,352
388,1,9382,7,5,1468,2,0,3,6,0,577
389,1,12474,10,5,1682,2,1,3,9,1,846
390,0,8405,5,8,861,1,0,4,7,0,384
391,1,12209,6,5,804,2,1,3,7,1,560
392,0,8339,5,7,0,1,0,3,5,0,294
393,0,7446,4,5,788,1,0,2,4,2,0
394,0,10134,5,6,735,1,0,2,5,0,240
395,0,9571,5,6,1144,1,0,3,6,0,596
396,0,7200,5,5,894,1,0,2,6,0,600
397,1,7590,5,5,864,2,0,4,8,1,264
398,0,8967,5,2,961,1,0,2,6,0,338
399,1,8125,7,5,1092,2,0,2,7,0,438
400,1,14963,8,5,1260,1,1,1,4,2,500
401,1,8767,7,5,1310,2,0,3,6,1,400
402,0,10200,5,8,672,1,0,2,4,0,240
403,1,12090,8,5,1141,2,1,4,10,1,420
404,1,10364,6,5,806,2,1,3,7,1,373
405,0,9991,4,4,1281,2,0,3,8,1,490
406,0,10480,6,5,1064,1,0,3,6,0,240
407,1,15576,6,7,840,2,0,4,8,0,308
408,1,14154,7,5,1063,2,1,3,9,1,947
409,1,10800,8,5,1034,2,1,3,8,1,836
410,0,9571,5,3,1276,1,0,3,5,0,350
411,0,34650,5,5,1056,1,0,3,5,0,572
412,1,4403,7,5,1470,2,1,2,7,1,484
413,0,8960,5,6,1008,1,0,2,5,1,360
414,1,11228,7,5,1080,2,1,3,9,1,678
415,1,8899,7,5,1340,2,0,3,6,0,396
416,0,7844,6,7,672,1,1,3,6,1,440
417,1,22420,6,6,1370,2,1,4,10,1,864
418,0,8160,5,6,756,1,1,3,7,0,240
419,0,8450,5,6,1056,1,0,3,6,1,304
420,1,7060,7,5,1344,2,0,2,8,0,784
421,1,16635,6,7,1602,2,0,3,8,1,529
422,0,21750,5,5,988,1,0,2,4,0,520
423,1,9200,8,5,1470,2,1,4,8,1,696
424,0,9000,6,5,1196,1,0,2,6,1,297
425,0,3378,7,8,651,1,1,3,6,2,240
426,1,12800,7,5,1518,2,0,2,5,1,569
427,0,8593,4,6,907,1,0,3,5,0,352
428,1,6762,7,5,1208,2,0,2,6,0,628
429,1,11457,6,5,1392,2,0,3,6,1,576
430,0,1680,6,5,483,1,1,2,4,0,264
431,0,5586,6,7,901,1,0,4,7,0,0
432,0,1920,5,5,765,1,1,2,6,0,440
433,1,10839,6,5,926,2,1,3,7,1,470
434,0,1890,4,7,630,1,0,1,3,0,0
435,1,10667,7,6,799,2,1,3,6,1,550
436,0,4400,6,8,648,1,0,2,6,0,440
437,0,6000,6,7,884,1,0,2,4,0,180
438,0,4280,5,6,440,1,0,2,4,1,352
439,0,12354,6,8,684,1,0,3,7,0,528
440,1,15431,10,5,3094,2,0,2,10,2,672
441,0,12108,4,4,1440,2,0,4,8,0,0
442,0,6240,5,7,1078,2,0,3,8,1,360
443,1,3922,7,5,1258,2,0,2,6,1,648
444,1,8750,7,5,915,2,1,4,8,1,493
445,0,9855,6,5,1436,1,0,3,7,1,480
446,1,16492,6,6,1517,2,1,2,6,1,578
447,1,11214,7,5,930,2,1,4,10,1,431
448,0,8600,6,6,780,2,0,3,7,1,198
449,0,6000,3,7,649,1,1,2,6,0,308
450,0,5684,6,8,813,1,0,2,5,0,270
451,1,70761,7,5,1533,2,0,2,5,2,576
452,1,9303,6,5,872,2,1,3,7,0,422
453,1,9000,8,5,768,2,1,3,6,0,676
454,1,9297,5,5,1728,2,0,4,8,0,560
455,1,9600,7,6,1242,1,1,3,6,1,528
456,0,4571,5,5,624,1,0,4,7,0,513
457,1,53227,4,6,1364,1,0,2,6,2,529
458,0,5100,8,7,588,1,0,3,7,1,228
459,0,7015,5,4,709,1,0,3,5,1,352
460,1,8004,8,5,832,2,1,3,8,0,552
461,0,7200,7,9,560,1,0,3,6,0,576
462,0,8281,5,5,864,1,0,3,5,1,360
463,1,11988,6,7,715,1,1,3,6,1,240
464,0,8430,5,5,1040,2,0,3,5,0,0
465,1,3072,7,5,1375,2,0,2,6,1,398
466,1,10628,7,5,1277,1,0,2,5,1,526
467,0,9480,5,7,728,1,1,3,7,2,312
468,1,11428,8,5,1626,2,0,3,7,1,866
469,1,9291,6,5,832,2,1,3,7,0,506
470,1,6820,8,5,1488,1,1,1,4,0,528
471,1,11952,7,6,808,2,1,3,8,1,534
472,0,3675,6,5,547,1,0,2,5,0,525
473,1,14977,8,5,1976,2,0,2,7,1,908
474,1,5330,8,5,1494,2,0,2,6,0,499
475,0,8480,5,6,970,1,0,2,5,0,624
476,1,13125,6,5,1478,2,0,3,7,1,508
477,1,13693,9,5,2153,2,1,3,9,1,694
478,1,10637,8,5,1705,2,0,3,7,1,826
479,0,5925,4,7,907,1,0,2,7,0,672
480,1,16033,9,5,1833,2,0,3,8,1,772
481,1,11846,9,5,1792,2,0,2,6,1,874
482,0,2500,7,8,910,1,1,4,7,1,164
483,1,4500,6,5,1216,2,0,2,5,0,402
484,0,7758,5,7,999,1,0,3,6,0,264
485,0,9600,5,7,1113,1,0,3,5,1,264
486,0,10289,5,7,1073,1,1,3,6,0,515
487,1,12243,5,6,1484,2,0,3,7,1,487
488,0,10800,5,4,954,2,0,3,10,1,520
489,0,1526,4,8,630,1,0,1,3,0,286
